"რეგიონი","Region","ქუჩის ნომერი","Street Number","ბინის ნომერი,ბლოკი, კვარტალი, შესახვევი","Unit, Block","ქუჩის დასახელება","Street Name","ქალაქი/მუნიციპალიტეტი","city/municipality","სოფელი","Village","ელ-ფოსტა","Emails
(separated by |)","საკონტაქტო ინფორმაცია","Phone numbers
(separated by |)","სერვისის დასახელება","Service Type & Description","სერვისის განმახორცილებელი","Service Provider","დაფინანსების წყარო","Source of Funding","სტატუსი","Beneficiary","მშობელთა მხარდაჭერა","Parental Support",,"Type of Program","ბენეფიციარების ასაკი",
"ქვემო ქართლი","Lower Kartli",20,20,,,"კოსტავას გამზირი","Kostava Avenue","რუსთავი","Rustavi",,,"rustaviyouthcenter@yahoo.com","rustaviyouthcenter@yahoo.com","341 22 22 54 | 599 28 22 48","341 22 22 54 | 599 28 22 48","რუსთაველი ახალგაზრდობის ინტელექტუალური და ფიზიკური პოტენციალის გამოვლენისა და სრულყოფისათვის შესაბამისი პირობების შექმნა. საგანმანათლებლო - კულტურული ღონისძიებების ორგანიზება და ხელშეწყობა. ტრენინგ-სემინარები, კონფერენციები, ფესტივალები, გამოფენები, სხვადასხვა სახის შემეცნებით-საგანმანათლებლო ღონისძიებები."," Intellectual and physical potential identification of Young people of Rustavi and development of appropriate conditions. Organizing and supporting  educational-cultural events, training-seminars, conferences, festivals, exhibitions, and other types of cognitive-educational events. ","რუსთავის ახალგაზრდობის ცენტრი","Youth Centre of Rustavi","მუნიციპალური ","Municipal",,,,,,"Municipal","14-29","14-29"
"თბილისი","Tbilisi",9,9,,,"ანჯაფარიძის","Anjaparidze","თბილისი","Tbilisi",,,"gcrt@gol.ge","gcrt@gol.ge","32 2220 689 | 32 2293 912","32 2220 689 | 32 2293 912","სამოქალაქო ჩართულობის გაზრდა ოჯახში  ძალადობის და  სექსუალური ძალადობის მსხვერპლთა  დახმარების  მიზნით. მოცემული პროექტის ფარგლებში ცენტრი ბენეფიციარებს უწევს შემდეგ უფასო მომსახურებებს: •   სამედიცინო •  ფსიქოლოგიური •   იურიდიული •   სოციალური","Increasing civic participation in order to help the victims of domestic violence and sexual abuse. As part of the project, the center renders the following free-of-charge services to the beneficiaries: * Medical  * Psychological * Legal * Social ","წამების მსხვერპლთა ფსიქოსოციალური და სამედიცინო რეაბილიტაციის ცენტრის - GCRT-ის თბილისის სათაო ოფისი","Psychosocial and Medical Rehabilitation Center for Torture Victims - GCRT-'s Tbilisi office","კერძო","Private",,,,,,"Private","0-29","0-29"
"თბილისი","Tbilisi",34,34,,,"ც.დადიანის","Tsotne Dadiani","თბილისი","Tbilisi",,,"echophikashvili@justice.gov.ge","echophikashvili@justice.gov.ge","32 2944 035 | 32 2944 002","32 2944 035 | 32 2944 002","ფსიქოლოგის მომსახურება; სოციალური მუშაკის მომსახურება","Psychologist's service; Social worker's service ","სსიპ დანაშაულის პრევენციის ცენტრი","LEPL Center for Crime Prevention ","სახელმწიფო","State",,,,,"სახელმწიფო პროგრამები","State Programs","12-21","12-21"
"კახეთი","Kakheti",1,1,,,"ჯანელიძის","Janelidze","ლაგოდეხი","Lagodekhi",,,"nunu.nozadze@mail.ru ","nunu.nozadze@mail.ru ","577 13 50 53","577 13 50 53","ოჯახი, რომლის წევრი საჭიროებს სასწრაფო სამედიცინო დახმარებას, სამედიცინო ჩარევას, კვლევას, მაგრამ არ ფლობს სამედიცინო დაზღვევის ბარათს, უნაზღაურდება აღნიშნული სერვისები.","The family, whose member requires emergency medical assistance, medical involvement, research, but does not possess medical insurance card, is entitled to the reimbursement of the cost of the services.","ლაგოდეხის მუნიციპალიტეტის საზ.ჯანდაცვის სამსახური","Public Healthcare Service of Lagodekhi Municipality","მუნიციპალური ","Municipal",,,"ახორციელებს","Implements",,"Municipal","0-18","0-18"
"შიდა ქართლი","Inner Kartli",1,1,,,"მოსკოვის","Moscow","გორი","Gori",,,"nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","591 51 08 06 | 551 40 91 97","591 51 08 06 | 551 40 91 97","ინდივიდუალური და ჯგუფური ფსიქო სოციალური სარეაბილიტაციო პროგრამები: კომუნიკაცია,კონფლიქტების მართვა,  ასერტული ქცევა, გუნდი და ლიდერობა საზოგადოებაში ინტეგრაციის პროგრამა : ბრაზისა და აგრესიის მართვა,შფოთვა, სტრესთან გამკლავება ცხოვრებისეული ფასეულობები  /პიროვნული უნარები დამოკიდებულებების დაძლევა (ნარკოდამოკიდებულ და აზარტულ თამაშებზე დამოკიდებულ პირებთან  მუშაობა) მოძალადესთან და მსხვერპლთან ინდივიდუალური თერაპიული მუშაობა ფსიქოლოგის მიერ საგანმანათლებლო პროგრამები: საინფორმაციო ხასიათის ტრენინგი (სახელმწიფოში არსებული მომსახურებების შესახებ) ,,ოჯახი და მისი დინამიკა“- არასრულწლოვანი პ/მ მშობლებთან სამოქალაქო განათლება: სხვადასხვა თემატური შეხვედრა-სემინარები ჯანსაღი ცხოვრების წესის პოპულარიზაციის მიზნით მსოფლიოს ხალხთა დღისადმი მიძღვნილი საინფორმაციო და შემეცნებითი ღონისძიებები პროექტი- ,,ჩემი მეგობარი’’ დასაქმების ხელშეწყობა: დასაქმებისათვის საჭირო ცოდნისა და უნარების განვითარება/პროფორიენტაცია  ჯანმრთელობა გაჯანსაღება: ჯანსაღი ცხოვრების წესი","Individual and group psycho-social rehabilitation programs:
Penitential stress, its characteristics and coping mechanisms
Communication, conflict management, assertive  behavior, team and leadership
Reintegration program: anger and aggression management, anxiety, stress management
Life Values and personal skills
Overcoming addiction (work with drug addicts and addicted persons)
Individual therapeutic work by psychologist with oppressor and victim
Educational programs:
Informational training (regarding the state services)
Human rights training “Compassito”
Trafficking
Family and its Dynamics – training of parents
 (for underage parents and parents of underage children)
Training on family violence (identification of violence and referring to local legislature basis)
Meaning of psychology, age development stages (for adolescents)
Civil education:
Various thematic meetings and seminars with the view to promote a healthy lifestyle
Informational and cognitive events dedicated to the World Peoples Day
Project – My Friend
Support of employment:
Development of skills necessary for employment / professional orientation
Health Improvement:
Healthy Lifestyle
","პრობაციის ეროვნული სააგენტო (ფსიქოლოგი, სოციალური მუშაკი)","National Probation Agency (psychologist, social worker)","სახელმწიფო","State","კანონთან კონფლიქტში მყოფი","In conflict with law",,,,"State","14-21","14-21"
"შიდა ქართლი","Inner Kartli",,,,,,,"ხაშური","Khashuri",,,"nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","591 51 08 06 | 551 40 91 97","591 51 08 06 | 551 40 91 97","ინდივიდუალური და ჯგუფური ფსიქო სოციალური სარეაბილიტაციო პროგრამები: კომუნიკაცია,კონფლიქტების მართვა,  ასერტული ქცევა, გუნდი და ლიდერობა საზოგადოებაში ინტეგრაციის პროგრამა : ბრაზისა და აგრესიის მართვა,შფოთვა, სტრესთან გამკლავება ცხოვრებისეული ფასეულობები  /პიროვნული უნარები დამოკიდებულებების დაძლევა (ნარკოდამოკიდებულ და აზარტულ თამაშებზე დამოკიდებულ პირებთან  მუშაობა) მოძალადესთან და მსხვერპლთან ინდივიდუალური თერაპიული მუშაობა ფსიქოლოგის მიერ საგანმანათლებლო პროგრამები: საინფორმაციო ხასიათის ტრენინგი (სახელმწიფოში არსებული მომსახურებების შესახებ) ,,ოჯახი და მისი დინამიკა“- არასრულწლოვანი პ/მ მშობლებთან სამოქალაქო განათლება: სხვადასხვა თემატური შეხვედრა-სემინარები ჯანსაღი ცხოვრების წესის პოპულარიზაციის მიზნით მსოფლიოს ხალხთა დღისადმი მიძღვნილი საინფორმაციო და შემეცნებითი ღონისძიებები პროექტი- ,,ჩემი მეგობარი’’ დასაქმების ხელშეწყობა: დასაქმებისათვის საჭირო ცოდნისა და უნარების განვითარება/პროფორიენტაცია  ჯანმრთელობა გაჯანსაღება: ჯანსაღი ცხოვრების წესი","Individual and group psycho-social rehabilitation programs:
Penitential stress, its characteristics and coping mechanisms
Communication, conflict management, assertive  behavior, team and leadership
Reintegration program: anger and aggression management, anxiety, stress management
Life Values and personal skills
Overcoming addiction (work with drug addicts and addicted persons)
Individual therapeutic work by psychologist with oppressor and victim
Educational programs:
Informational training (regarding the state services)
Human rights training “Compassito”
Trafficking
Family and its Dynamics – training of parents
 (for underage parents and parents of underage children)
Training on family violence (identification of violence and referring to local legislature basis)
Meaning of psychology, age development stages (for adolescents)
Civil education:
Various thematic meetings and seminars with the view to promote a healthy lifestyle
Informational and cognitive events dedicated to the World Peoples Day
Project – My Friend
Support of employment:
Development of skills necessary for employment / professional orientation
Health Improvement:
Healthy Lifestyle
","პრობაციის ეროვნული სააგენტო (ფსიქოლოგი, სოციალური მუშაკი)","National Probation Agency (psychologist, social worker)","სახელმწიფო","State","კანონთან კონფლიქტში მყოფი","In conflict with law",,,,"State","14-21","14-21"
"სამცხე- ჯავახეთი","Samtskhe-Javakheti",6,6,,,"კეცხოველის","Ketskhoveli","ახალციხე","Akhaltsikhe",,,"nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","591 51 08 06 | 551 40 91 97","591 51 08 06 | 551 40 91 97","ინდივიდუალური და ჯგუფური ფსიქო სოციალური სარეაბილიტაციო პროგრამები:
კრიზისის მართვა
პენიტენციალური სტრესი მისი მახასიათებელი და დაძლევის მექანიზმები
კომუნიკაცია,კონფლიქტების მართვა,  ასერტული ქცევა, გუნდი და ლიდერობა
საზოგადოებაში ინტეგრაციის პროგრამა : ბრაზისა და აგრესიის მართვა,შფოთვა, სტრესთან გამკლავება
ცხოვრებისეული ფასეულობები  /პიროვნული უნარები
დამოკიდებულებების დაძლევა (ნარკოდამოკიდებულ და აზარტულ თამაშებზე დამოკიდებულ პირებთან  მუშაობა)
მოძალადესთან და მსხვერპლთან ინდივიდუალური თერაპიული მუშაობა ფსიქოლოგის მიერ
საგანმანათლებლო პროგრამები:
საინფორმაციო ხასიათის ტრენინგი (სახელმწიფოში არსებული მომსახურებების შესახებ)
ტრენინგი ადამიანის უფლებების შესახებ
სამოქალაქო განათლება:
სხვადასხვა თემატური შეხვედრა-სემინარები ჯანსაღი ცხოვრების წესის პოპულარიზაციის მიზნით
მსოფლიოს ხალხთა დღისადმი მიძღვნილი საინფორმაციო და შემეცნებითი ღონისძიებები
პროექტი- ,,ჩემი მეგობარი’’
დასაქმების ხელშეწყობა:
დასაქმებისათვის საჭირო ცოდნისა და უნარების განვითარება/პროფორიენტაცია
ჯანმრთელობა გაჯანსაღება:
ჯანსაღი ცხოვრების წესი
","Individual and group psycho-social rehabilitation programs:
Penitential stress, its characteristics and coping mechanisms
Communication, conflict management, assertive  behavior, team and leadership
Reintegration program: anger and aggression management, anxiety, stress management
Life Values and personal skills
Overcoming addiction (work with drug addicts and addicted persons)
Individual therapeutic work by psychologist with oppressor and victim
Educational programs:
Informational training (regarding the state services)
Human rights training “Compassito”
Trafficking
Family and its Dynamics – training of parents
 (for underage parents and parents of underage children)
Training on family violence (identification of violence and referring to local legislature basis)
Meaning of psychology, age development stages (for adolescents)
Civil education:
Various thematic meetings and seminars with the view to promote a healthy lifestyle
Informational and cognitive events dedicated to the World Peoples Day
Project – My Friend
Support of employment:
Development of skills necessary for employment / professional orientation
Health Improvement:
Healthy Lifestyle
","პრობაციის ეროვნული სააგენტო; (ფსიქოლოგი, სოციალური მუშაკი)","National Probation Agency (psychologist, social worker)","სახელმწიფო","State","კანონთან კონფლიქტში მყოფი","In conflict with law",,,,"State","14-21","14-21"
"სამცხე- ჯავახეთი","Samtskhe-Javakheti","44ა","44a",,,"თამარ მეფის","Tamar Mepe","ნინოწმინდა","Ninotsminda",,,"nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","591 51 08 06 | 551 40 91 97","591 51 08 06 | 551 40 91 97","ინდივიდუალური და ჯგუფური ფსიქო სოციალური სარეაბილიტაციო პროგრამები:
კრიზისის მართვა
პენიტენციალური სტრესი მისი მახასიათებელი და დაძლევის მექანიზმები
კომუნიკაცია,კონფლიქტების მართვა,  ასერტული ქცევა, გუნდი და ლიდერობა
საზოგადოებაში ინტეგრაციის პროგრამა : ბრაზისა და აგრესიის მართვა,შფოთვა, სტრესთან გამკლავება
ცხოვრებისეული ფასეულობები  /პიროვნული უნარები
დამოკიდებულებების დაძლევა (ნარკოდამოკიდებულ და აზარტულ თამაშებზე დამოკიდებულ პირებთან  მუშაობა)
მოძალადესთან და მსხვერპლთან ინდივიდუალური თერაპიული მუშაობა ფსიქოლოგის მიერ
საგანმანათლებლო პროგრამები:
საინფორმაციო ხასიათის ტრენინგი (სახელმწიფოში არსებული მომსახურებების შესახებ)
ტრენინგი ადამიანის უფლებების შესახებ
სამოქალაქო განათლება:
სხვადასხვა თემატური შეხვედრა-სემინარები ჯანსაღი ცხოვრების წესის პოპულარიზაციის მიზნით
მსოფლიოს ხალხთა დღისადმი მიძღვნილი საინფორმაციო და შემეცნებითი ღონისძიებები
პროექტი- ,,ჩემი მეგობარი’’
დასაქმების ხელშეწყობა:
დასაქმებისათვის საჭირო ცოდნისა და უნარების განვითარება/პროფორიენტაცია
ჯანმრთელობა გაჯანსაღება:
ჯანსაღი ცხოვრების წესი
","Individual and group psycho-social rehabilitation programs:
Penitential stress, its characteristics and coping mechanisms
Communication, conflict management, assertive  behavior, team and leadership
Reintegration program: anger and aggression management, anxiety, stress management
Life Values and personal skills
Overcoming addiction (work with drug addicts and addicted persons)
Individual therapeutic work by psychologist with oppressor and victim
Educational programs:
Informational training (regarding the state services)
Human rights training “Compassito”
Trafficking
Family and its Dynamics – training of parents
 (for underage parents and parents of underage children)
Training on family violence (identification of violence and referring to local legislature basis)
Meaning of psychology, age development stages (for adolescents)
Civil education:
Various thematic meetings and seminars with the view to promote a healthy lifestyle
Informational and cognitive events dedicated to the World Peoples Day
Project – My Friend
Support of employment:
Development of skills necessary for employment / professional orientation
Health Improvement:
Healthy Lifestyle
","პრობაციის ეროვნული სააგენტო; (ფსიქოლოგი, სოციალური მუშაკი)","National Probation Agency (psychologist, social worker)","სახელმწიფო","State","კანონთან კონფლიქტში მყოფი","In conflict with law",,,,"State","14-21","14-21"
"სამცხე- ჯავახეთი","Samtskhe-Javakheti",2,2,,,"ფალიაშვილის","Paliashvili","ბორჯომი","Borjomi",,,"nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","591 51 08 06 | 551 40 91 97","591 51 08 06 | 551 40 91 97","ინდივიდუალური და ჯგუფური ფსიქო სოციალური სარეაბილიტაციო პროგრამები:
კრიზისის მართვა
პენიტენციალური სტრესი მისი მახასიათებელი და დაძლევის მექანიზმები
კომუნიკაცია,კონფლიქტების მართვა,  ასერტული ქცევა, გუნდი და ლიდერობა
საზოგადოებაში ინტეგრაციის პროგრამა : ბრაზისა და აგრესიის მართვა,შფოთვა, სტრესთან გამკლავება
ცხოვრებისეული ფასეულობები  /პიროვნული უნარები
დამოკიდებულებების დაძლევა (ნარკოდამოკიდებულ და აზარტულ თამაშებზე დამოკიდებულ პირებთან  მუშაობა)
მოძალადესთან და მსხვერპლთან ინდივიდუალური თერაპიული მუშაობა ფსიქოლოგის მიერ
საგანმანათლებლო პროგრამები:
საინფორმაციო ხასიათის ტრენინგი (სახელმწიფოში არსებული მომსახურებების შესახებ)
ტრენინგი ადამიანის უფლებების შესახებ
სამოქალაქო განათლება:
სხვადასხვა თემატური შეხვედრა-სემინარები ჯანსაღი ცხოვრების წესის პოპულარიზაციის მიზნით
მსოფლიოს ხალხთა დღისადმი მიძღვნილი საინფორმაციო და შემეცნებითი ღონისძიებები
პროექტი- ,,ჩემი მეგობარი’’
დასაქმების ხელშეწყობა:
დასაქმებისათვის საჭირო ცოდნისა და უნარების განვითარება/პროფორიენტაცია
ჯანმრთელობა გაჯანსაღება:
ჯანსაღი ცხოვრების წესი
","Individual and group psycho-social rehabilitation programs:
Penitential stress, its characteristics and coping mechanisms
Communication, conflict management, assertive  behavior, team and leadership
Reintegration program: anger and aggression management, anxiety, stress management
Life Values and personal skills
Overcoming addiction (work with drug addicts and addicted persons)
Individual therapeutic work by psychologist with oppressor and victim
Educational programs:
Informational training (regarding the state services)
Human rights training “Compassito”
Trafficking
Family and its Dynamics – training of parents
 (for underage parents and parents of underage children)
Training on family violence (identification of violence and referring to local legislature basis)
Meaning of psychology, age development stages (for adolescents)
Civil education:
Various thematic meetings and seminars with the view to promote a healthy lifestyle
Informational and cognitive events dedicated to the World Peoples Day
Project – My Friend
Support of employment:
Development of skills necessary for employment / professional orientation
Health Improvement:
Healthy Lifestyle
","პრობაციის ეროვნული სააგენტო; (ფსიქოლოგი, სოციალური მუშაკი)","National Probation Agency (psychologist, social worker)","სახელმწიფო","Private","კანონთან კონფლიქტში მყოფი","In conflict with law",,,,"State","14-21","14-21"
"კახეთი","Kakheti",35,35,,," გ. ჩოხელის","G. Chokheli","თელავი","Telavi",,,"svadachkoria@probation.gov.ge","svadachkoria@probation.gov.ge","595 05 88 43","595 05 88 43","ინდივიდუალური და ჯგუფური ფსიქო სოციალური სარეაბილიტაციო პროგრამები:
კომუნიკაცია,კონფლიქტების მართვა,  ასერტული ქცევა, გუნდი და ლიდერობა
საზოგადოებაში ინტეგრაციის პროგრამა : ბრაზისა და აგრესიის მართვა,შფოთვა, სტრესთან გამკლავება
ცხოვრებისეული ფასეულობები  /პიროვნული უნარები
მოძალადესთან და მსხვერპლთან ინდივიდუალური თერაპიული მუშაობა ფსიქოლოგის მიერ
საგანმანათლებლო პროგრამები:
საინფორმაციო ხასიათის ტრენინგი (სახელმწიფოში არსებული მომსახურებების შესახებ)
,,ოჯახი და მისი დინამიკა“ მშობელთა ტრენინგი
( არასრულწლოვანი მშობლებისა და არასრულწლოვანთა მშობლებისათვის)
ტრენინგი ოჯახური ძალადობის შესახებ  ( ძალადობის ამოცნობა და რეფერირება ადგილობრივი კანონმდებლობის საფუძველზე)
სამოქალაქო განათლება:
სხვადასხვა თემატური შეხვედრა-სემინარები ჯანსაღი ცხოვრების წესის პოპულარიზაციის მიზნით
მსოფლიოს ხალხთა დღისადმი მიძღვნილი საინფორმაციო და შემეცნებითი ღონისძიებები
პროექტი- ,,ჩემი მეგობარი’’
დასაქმების ხელშეწყობა:
დასაქმებისათვის საჭირო ცოდნისა და უნარების განვითარება/პროფორიენტაცია
ჯანმრთელობა გაჯანსაღება:
ჯანსაღი ცხოვრების წესი
","Individual and group psycho-social rehabilitation programs:
Penitential stress, its characteristics and coping mechanisms
Communication, conflict management, assertive  behavior, team and leadership
Reintegration program: anger and aggression management, anxiety, stress management
Life Values and personal skills
Overcoming addiction (work with drug addicts and addicted persons)
Individual therapeutic work by psychologist with oppressor and victim
Educational programs:
Informational training (regarding the state services)
Human rights training “Compassito”
Trafficking
Family and its Dynamics – training of parents
 (for underage parents and parents of underage children)
Training on family violence (identification of violence and referring to local legislature basis)
Meaning of psychology, age development stages (for adolescents)
Civil education:
Various thematic meetings and seminars with the view to promote a healthy lifestyle
Informational and cognitive events dedicated to the World Peoples Day
Project – My Friend
Support of employment:
Development of skills necessary for employment / professional orientation
Health Improvement:
Healthy Lifestyle
","პრობაციის ეროვნული სააგენტო; (ფსიქოლოგი, სოციალური მუშაკი)","National Probation Agency (psychologist, social worker)","სახელმწიფო","State","კანონთან კონფლიქტში მყოფი","In conflict with law",,,,"State","14-21","14-21"
"კახეთი","Kakheti",17,17,,,"წმ. ნინოს","St.  Nino","გურჯაანი","Gurjaani",,,"svadachkoria@probation.gov.ge","svadachkoria@probation.gov.ge","595 05 88 43","595 05 88 43","ინდივიდუალური და ჯგუფური ფსიქო სოციალური სარეაბილიტაციო პროგრამები:
კომუნიკაცია,კონფლიქტების მართვა,  ასერტული ქცევა, გუნდი და ლიდერობა
საზოგადოებაში ინტეგრაციის პროგრამა : ბრაზისა და აგრესიის მართვა,შფოთვა, სტრესთან გამკლავება
ცხოვრებისეული ფასეულობები  /პიროვნული უნარები
მოძალადესთან და მსხვერპლთან ინდივიდუალური თერაპიული მუშაობა ფსიქოლოგის მიერ
საგანმანათლებლო პროგრამები:
საინფორმაციო ხასიათის ტრენინგი (სახელმწიფოში არსებული მომსახურებების შესახებ)
,,ოჯახი და მისი დინამიკა“ მშობელთა ტრენინგი
( არასრულწლოვანი მშობლებისა და არასრულწლოვანთა მშობლებისათვის)
ტრენინგი ოჯახური ძალადობის შესახებ  ( ძალადობის ამოცნობა და რეფერირება ადგილობრივი კანონმდებლობის საფუძველზე)
სამოქალაქო განათლება:
სხვადასხვა თემატური შეხვედრა-სემინარები ჯანსაღი ცხოვრების წესის პოპულარიზაციის მიზნით
მსოფლიოს ხალხთა დღისადმი მიძღვნილი საინფორმაციო და შემეცნებითი ღონისძიებები
პროექტი- ,,ჩემი მეგობარი’’
დასაქმების ხელშეწყობა:
დასაქმებისათვის საჭირო ცოდნისა და უნარების განვითარება/პროფორიენტაცია
ჯანმრთელობა გაჯანსაღება:
ჯანსაღი ცხოვრების წესი
","Individual and group psycho-social rehabilitation programs:
Penitential stress, its characteristics and coping mechanisms
Communication, conflict management, assertive  behavior, team and leadership
Reintegration program: anger and aggression management, anxiety, stress management
Life Values and personal skills
Overcoming addiction (work with drug addicts and addicted persons)
Individual therapeutic work by psychologist with oppressor and victim
Educational programs:
Informational training (regarding the state services)
Human rights training “Compassito”
Trafficking
Family and its Dynamics – training of parents
 (for underage parents and parents of underage children)
Training on family violence (identification of violence and referring to local legislature basis)
Meaning of psychology, age development stages (for adolescents)
Civil education:
Various thematic meetings and seminars with the view to promote a healthy lifestyle
Informational and cognitive events dedicated to the World Peoples Day
Project – My Friend
Support of employment:
Development of skills necessary for employment / professional orientation
Health Improvement:
Healthy Lifestyle
","პრობაციის ეროვნული სააგენტო
(ფსიქოლოგი,
სოციალური მუშაკი)
","National Probation Agency (psychologist, social worker)","სახელმწიფო","State","კანონთან კონფლიქტში მყოფი",,,,,"State","14-21","14-21"
"იმერეთი","Imereti",15,15,,,"ზ.გამსახურდიას","Z. Gamsakhurdia","ქუთაისი","Kutaisi",,,"nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","nmacharashvili@probation.gov.ge | ntkeshelashvili@probation.gov,.ge","591 51 08 06 | 551 40 91 97","591 51 08 06 | 551 40 91 97","ინდივიდუალური და ჯგუფური ფსიქო სოციალური სარეაბილიტაციო პროგრამები:
პენიტენციალური სტრესი მისი მახასიათებელი და დაძლევის მექანიზმები
კომუნიკაცია,კონფლიქტების მართვა,  ასერტული ქცევა, გუნდი და ლიდერობა
საზოგადოებაში ინტეგრაციის პროგრამა : ბრაზისა და აგრესიის მართვა,შფოთვა, სტრესთან გამკლავება
ცხოვრებისეული ფასეულობები  /პიროვნული უნარები
დამოკიდებულებების დაძლევა
დანაშაულის გაცნობიერება
მოძალადესთან და მსხვერპლთან ინდივიდუალური თერაპიული მუშაობა ფსიქოლოგის მიერ
საგანმანათლბლო პროგრამები:
საინფორმაციო ხასიათის ტრენინგი ( სახელმწიფოში არსებული მომსახურებების შესახებ)
ტრენინგი ადამიანის უფლებების შესახებ ,,კომპასიტო’’
ტრეფიკინგი
,,ოჯახი და მისი დინამიკა“მშობელთა ტრენინგი
( არასრულწლოვანი მშობლებისა და არასრულწლოვანთა მშობლებისათვის)
ტრენინგი ოჯახური ძალადობის შესახებ  ( ძალადობის ამოცნობა და რეფერირება ადგილობრივი კანონმდებლობის საფუძველზე)
ფსიქოლოგიის რაობა, ასაკობრივი განვითარების საფეხურები ( მოზარდებისათვის)
სამოქალაქო განათლება:
სხვადასხვა თემატური შეხვედრა-სემინარები ჯანსაღი ცხოვრების წესის პოპულარიზაციის მიზნით
მსოფლიოს ხალხთა დღისადმი მიძღვნილი საინფორმაციო და შემეცნებითი ღონისძიებები
პროექტი- ,,ჩემი მეგობარი’’
დასაქმების ხელშეწყობა:
დასაქმებისათვის საჭირო ცოდნისა და უნარების განვითარება/პროფორიენტაცია
ჯანმრთელობა გაჯანსაღება:
ჯანსაღი ცხოვრების წესი
","Individual and group psycho-social rehabilitation programs:
Penitential stress, its characteristics and coping mechanisms
Communication, conflict management, assertive  behavior, team and leadership
Reintegration program: anger and aggression management, anxiety, stress management
Life Values and personal skills
Overcoming addiction (work with drug addicts and addicted persons)
Individual therapeutic work by psychologist with oppressor and victim
Educational programs:
Informational training (regarding the state services)
Human rights training “Compassito”
Trafficking
Family and its Dynamics – training of parents
 (for underage parents and parents of underage children)
Training on family violence (identification of violence and referring to local legislature basis)
Meaning of psychology, age development stages (for adolescents)
Civil education:
Various thematic meetings and seminars with the view to promote a healthy lifestyle
Informational and cognitive events dedicated to the World Peoples Day
Project – My Friend
Support of employment:
Development of skills necessary for employment / professional orientation
Health Improvement:
Healthy Lifestyle
","პრობაციის ეროვნული სააგენტო
(ფსიქოლოგი,
სოციალური მუშაკი)
","National Probation Agency (psychologist, social worker)","სახელმწიფო","State","კანონთან კონფლიქტში მყოფი","In conflict with law",,,,"State","14-21","14-21"
